"code","name_it","name_en","parent_code","level","classification_system"
"94.9","Attività di altre organizzazioni associative","Activities of other membership organisations","94","3","NACE"
"95.1","Riparazione e manutenzione di computer e di apparecchiature per le comunicazioni","Repair and maintenance of computers and communication equipment","95","3","NACE"
"95.2","Riparazione e manutenzione di beni per uso personale e per la casa","Repair and maintenance of personal and household goods","95","3","NACE"
"95.3","Riparazione e manutenzione di autoveicoli e motocicli","Repair and maintenance of motor vehicles and motorcycles","95","3","NACE"
"95.4","Attività di servizi di intermediazione per la riparazione e la manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli","Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles","95","3","NACE"
"96.1","Servizi di lavaggio e pulitura di prodotti tessili e pellicce","Washing and cleaning of textile and fur products","96","3","NACE"
"96.2","Servizi di parrucchieri e barbieri, trattamenti di bellezza, centri benessere e attività simili","Hairdressing, beauty treatment, day spa and similar activities","96","3","NACE"
"96.3","Servizi funerari e attività connesse","Funeral and related activities","96","3","NACE"
"96.4","Attività di servizi di intermediazione per servizi alla persona","Intermediation service activities for personal services","96","3","NACE"
"96.9","Altre attività di servizi alla persona","Other personal service activities","96","3","NACE"
"97.0","Attività di famiglie e convivenze come datori di lavoro per personale domestico","Activities of households as employers of domestic personnel","97","3","NACE"
"98.1","Produzione di beni indifferenziati per uso proprio da parte di famiglie e convivenze","Undifferentiated goods-producing activities of private households for own use","98","3","NACE"
"98.2","Produzione di servizi indifferenziati per uso proprio da parte di famiglie e convivenze","Undifferentiated service-producing activities of private households for own use","98","3","NACE"
"99.0","Attività di organizzazioni e organismi extraterritoriali","Activities of extraterritorial organisations and bodies","99","3","NACE"
